RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_INDEX	CURRENT_FIX_START	CURRENT_FIX_DURATION	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_PUPIL	condition	category	img_name	expected	Button_Press	Correct	Button_pressed_time	Time_on_Display	RT	image_id
s2_bot	12	1	7	177	259	161	918.0	absent	bottle	000000006949.jpg	6	6	1	140940.0	139986.379422	953	6949
s2_bot	12	2	229	160	253	119	915.0	absent	bottle	000000006949.jpg	6	6	1	140940.0	139986.379422	953	6949
s2_bot	12	3	440	329	146	157	1059.0	absent	bottle	000000006949.jpg	6	6	1	140940.0	139986.379422	953	6949
s2_bot	12	4	833	88	134	97	1275.0	absent	bottle	000000006949.jpg	6	6	1	140940.0	139986.379422	953	6949
s2_bot	12	5	994	270	307	83	1335.0	absent	bottle	000000006949.jpg	6	6	1	140940.0	139986.379422	953	6949
s2_bot	12	6	1316	206	371	124	1467.0	absent	bottle	000000006949.jpg	6	6	1	140940.0	139986.379422	953	6949
s2_bot	37	1	21	8	249	146	946.0	absent	bottle	000000141108.jpg	6	6	1	242147.0	241432.310422	714	141108
s2_bot	37	2	35	206	242	129	943.0	absent	bottle	000000141108.jpg	6	6	1	242147.0	241432.310422	714	141108
s2_bot	37	3	297	111	215	61	900.0	absent	bottle	000000141108.jpg	6	6	1	242147.0	241432.310422	714	141108
s2_bot	37	4	465	198	135	125	1057.0	absent	bottle	000000141108.jpg	6	6	1	242147.0	241432.310422	714	141108
s2_bot	37	5	747	190	228	58	1280.0	absent	bottle	000000141108.jpg	6	6	1	242147.0	241432.310422	714	141108
s2_bot	37	6	1004	279	356	49	1369.0	absent	bottle	000000141108.jpg	6	6	1	242147.0	241432.310422	714	141108
s2_bot	45	1	7	25	257	154	1060.0	absent	bottle	000000115866.jpg	6	6	1	290408.0	289503.194422	904	115866
s2_bot	45	2	78	127	254	101	1083.0	absent	bottle	000000115866.jpg	6	6	1	290408.0	289503.194422	904	115866
s2_bot	45	3	251	250	181	71	1032.0	absent	bottle	000000115866.jpg	6	6	1	290408.0	289503.194422	904	115866
s2_bot	45	4	555	320	210	159	1304.0	absent	bottle	000000115866.jpg	6	6	1	290408.0	289503.194422	904	115866
s2_bot	45	5	938	286	205	105	1443.0	absent	bottle	000000115866.jpg	6	6	1	290408.0	289503.194422	904	115866
s2_bot	45	6	1286	174	250	209	1472.0	absent	bottle	000000115866.jpg	6	6	1	290408.0	289503.194422	904	115866
s2_bot	50	1	7	32	257	161	957.0	absent	bottle	000000439224.jpg	6	6	1	317736.0	316557.669422	1178	439224
s2_bot	50	2	60	209	244	150	909.0	absent	bottle	000000439224.jpg	6	6	1	317736.0	316557.669422	1178	439224
s2_bot	50	3	313	126	325	141	837.0	absent	bottle	000000439224.jpg	6	6	1	317736.0	316557.669422	1178	439224
s2_bot	50	4	495	111	196	161	1011.0	absent	bottle	000000439224.jpg	6	6	1	317736.0	316557.669422	1178	439224
s2_bot	50	5	656	227	143	175	1131.0	absent	bottle	000000439224.jpg	6	6	1	317736.0	316557.669422	1178	439224
s2_bot	50	6	1027	705	145	99	1247.0	absent	bottle	000000439224.jpg	6	6	1	317736.0	316557.669422	1178	439224
s2_bot	51	1	9	231	252	144	900.0	absent	bottle	000000555387.jpg	6	6	1	324050.0	319459.943422	4590	555387
s2_bot	51	2	288	193	187	175	959.0	absent	bottle	000000555387.jpg	6	6	1	324050.0	319459.943422	4590	555387
s2_bot	51	3	539	236	152	124	1124.0	absent	bottle	000000555387.jpg	6	6	1	324050.0	319459.943422	4590	555387
s2_bot	51	4	826	1920	258	160	1505.0	absent	bottle	000000555387.jpg	6	6	1	324050.0	319459.943422	4590	555387
s2_bot	51	5	2788	1215	216	163	1586.0	absent	bottle	000000555387.jpg	6	6	1	324050.0	319459.943422	4590	555387
s2_bot	51	6	4052	239	294	179	1771.0	absent	bottle	000000555387.jpg	6	6	1	324050.0	319459.943422	4590	555387
s2_bot	51	7	4353	801	192	155	1760.0	absent	bottle	000000555387.jpg	6	6	1	324050.0	319459.943422	4590	555387
s2_bot	57	1	15	263	255	146	912.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	2	341	274	266	62	985.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	3	680	190	170	119	1250.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	4	897	97	160	85	1285.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	5	1028	261	215	80	1408.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	6	1324	196	216	96	1512.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	7	1542	458	211	101	1690.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	8	2022	635	216	82	1834.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	9	2750	205	410	164	1842.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	10	2994	131	456	144	1634.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	11	3179	253	407	236	1604.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	12	3476	57	383	274	1739.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	13	3618	152	407	43	1809.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	14	3854	182	221	66	1912.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
s2_bot	57	15	4081	399	211	102	2090.0	absent	bottle	000000272738.jpg	6	7	0	356608.0	351668.432422	4939	272738
