RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_INDEX	CURRENT_FIX_START	CURRENT_FIX_DURATION	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_PUPIL	condition	category	imageid	expected	Button_Press	Correct	Button_pressed_time	Time_on_Display	RT
s2_bot	4	1	7	167	255	162	1030.0	absent	bottle	342742	6	6	1	100799.0	99404.6674224	1394
s2_bot	4	2	222	122	253	116	1007.0	absent	bottle	342742	6	6	1	100799.0	99404.6674224	1394
s2_bot	4	3	412	169	161	32	1036.0	absent	bottle	342742	6	6	1	100799.0	99404.6674224	1394
s2_bot	4	4	603	232	148	19	1224.0	absent	bottle	342742	6	6	1	100799.0	99404.6674224	1394
s2_bot	4	5	896	280	272	32	1472.0	absent	bottle	342742	6	6	1	100799.0	99404.6674224	1394
s2_bot	4	6	1236	94	265	128	1648.0	absent	bottle	342742	6	6	1	100799.0	99404.6674224	1394
s2_bot	4	7	1390	305	345	30	1727.0	absent	bottle	342742	6	6	1	100799.0	99404.6674224	1394
s2_bot	4	8	1752	211	267	155	1945.0	absent	bottle	342742	6	6	1	100799.0	99404.6674224	1394
s2_bot	5	1	7	176	257	161	1041.0	absent	bottle	330220	6	6	1	104797.0	102990.812422	1806
s2_bot	5	2	216	177	260	126	1037.0	absent	bottle	330220	6	6	1	104797.0	102990.812422	1806
s2_bot	5	3	461	51	166	83	1063.0	absent	bottle	330220	6	6	1	104797.0	102990.812422	1806
s2_bot	5	4	556	157	223	39	1154.0	absent	bottle	330220	6	6	1	104797.0	102990.812422	1806
s2_bot	5	5	757	35	249	28	1195.0	absent	bottle	330220	6	6	1	104797.0	102990.812422	1806
s2_bot	5	6	860	472	405	32	1318.0	absent	bottle	330220	6	6	1	104797.0	102990.812422	1806
s2_bot	5	7	1444	123	221	168	1627.0	absent	bottle	330220	6	6	1	104797.0	102990.812422	1806
s2_bot	5	8	1622	149	142	203	1592.0	absent	bottle	330220	6	6	1	104797.0	102990.812422	1806
s2_bot	5	9	1878	430	98	45	1223.0	absent	bottle	330220	6	6	1	104797.0	102990.812422	1806
s2_bot	10	1	7	194	258	159	1001.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	2	254	76	252	105	1014.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	3	378	277	360	83	1056.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	4	717	34	428	194	1239.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	5	850	172	188	139	1481.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	6	1089	144	77	153	1434.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	7	1306	199	274	101	1574.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	8	1529	229	292	94	1677.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	9	1801	140	277	67	1788.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	10	1979	441	253	70	1889.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	11	2445	117	236	71	1966.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	12	2638	243	423	99	1963.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	13	2922	134	373	95	1866.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	14	3112	153	293	117	1863.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	15	3322	327	400	115	1932.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	16	3674	146	422	119	1886.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	17	3842	222	438	119	1840.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	18	4102	173	376	115	1932.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	19	4321	248	296	119	1992.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	20	4615	105	253	111	2021.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	21	4757	276	244	84	2022.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	22	5057	231	242	65	2074.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	23	5309	208	254	65	2132.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	24	5553	268	305	72	2155.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	25	5867	183	402	96	2189.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	26	6077	400	433	111	2128.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	27	6516	346	380	116	2242.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	28	6913	308	350	73	2102.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	29	7306	106	463	276	1938.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	30	7448	65	476	298	1957.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	31	7592	257	502	96	1745.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	32	7897	241	411	82	1951.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	33	8180	172	413	120	2129.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	34	8380	210	379	119	2210.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	35	8637	278	290	115	2183.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	36	8961	164	259	79	2128.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	37	9147	253	255	61	2170.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	38	9438	290	296	62	2333.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	39	9749	129	291	66	2490.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	40	9900	278	305	69	2580.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	41	10219	174	249	72	2641.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
s2_bot	10	42	10417	154	237	68	2641.0	absent	bottle	240709	6	6	1	134627.0	123723.669422	10903
