RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_INDEX	CURRENT_FIX_START	CURRENT_FIX_DURATION	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_PUPIL	condition	category	imageid	expected	Button_Press	Correct	Button_pressed_time	Time_on_Display	RT
s2_bot	1	1	7	73	258	157	1158.0	present	bottle	478726	7	7	1	91240.0	90080.7194224	1159
s2_bot	1	2	102	193	243	145	1171.0	present	bottle	478726	7	7	1	91240.0	90080.7194224	1159
s2_bot	1	3	339	95	222	116	1183.0	present	bottle	478726	7	7	1	91240.0	90080.7194224	1159
s2_bot	1	4	485	635	339	82	1361.0	present	bottle	478726	7	7	1	91240.0	90080.7194224	1159
s2_bot	1	5	1142	592	341	62	1643.0	present	bottle	478726	7	7	1	91240.0	90080.7194224	1159
s2_bot	2	1	7	149	258	159	1132.0	present	bottle	488390	7	7	1	94496.0	93550.0954224	945
s2_bot	2	2	196	107	257	122	1172.0	present	bottle	488390	7	7	1	94496.0	93550.0954224	945
s2_bot	2	3	364	109	144	129	1105.0	present	bottle	488390	7	7	1	94496.0	93550.0954224	945
s2_bot	2	4	504	232	120	153	1249.0	present	bottle	488390	7	7	1	94496.0	93550.0954224	945
s2_bot	2	5	759	417	117	164	1524.0	present	bottle	488390	7	7	1	94496.0	93550.0954224	945
s2_bot	2	6	1207	302	140	165	1755.0	present	bottle	488390	7	7	1	94496.0	93550.0954224	945
s2_bot	3	1	7	60	257	161	1010.0	present	bottle	58864	7	7	1	97488.0	96652.5234224	835
s2_bot	3	2	102	109	261	142	1046.0	present	bottle	58864	7	7	1	97488.0	96652.5234224	835
s2_bot	3	3	258	297	337	97	1070.0	present	bottle	58864	7	7	1	97488.0	96652.5234224	835
s2_bot	3	4	581	480	360	89	1324.0	present	bottle	58864	7	7	1	97488.0	96652.5234224	835
s2_bot	3	5	1100	293	311	98	1538.0	present	bottle	58864	7	7	1	97488.0	96652.5234224	835
s2_bot	6	1	7	243	258	162	1042.0	present	bottle	142970	7	7	1	109813.0	106860.492422	2952
s2_bot	6	2	287	105	262	111	988.0	present	bottle	142970	7	7	1	109813.0	106860.492422	2952
s2_bot	6	3	512	192	356	37	1064.0	present	bottle	142970	7	7	1	109813.0	106860.492422	2952
s2_bot	6	4	773	147	183	15	1303.0	present	bottle	142970	7	7	1	109813.0	106860.492422	2952
s2_bot	6	5	987	211	337	28	1480.0	present	bottle	142970	7	7	1	109813.0	106860.492422	2952
s2_bot	6	6	1222	356	361	24	1631.0	present	bottle	142970	7	7	1	109813.0	106860.492422	2952
s2_bot	6	7	1600	264	352	22	1801.0	present	bottle	142970	7	7	1	109813.0	106860.492422	2952
s2_bot	6	8	1883	339	361	20	1919.0	present	bottle	142970	7	7	1	109813.0	106860.492422	2952
s2_bot	6	9	2249	683	346	31	2100.0	present	bottle	142970	7	7	1	109813.0	106860.492422	2952
s2_bot	6	10	2996	521	271	146	2265.0	present	bottle	142970	7	7	1	109813.0	106860.492422	2952
s2_bot	7	1	40	203	277	103	1068.0	present	bottle	394517	7	7	1	113433.0	111580.857422	1852
s2_bot	7	2	303	79	364	204	1082.0	present	bottle	394517	7	7	1	113433.0	111580.857422	1852
s2_bot	7	3	423	178	440	208	1153.0	present	bottle	394517	7	7	1	113433.0	111580.857422	1852
s2_bot	7	4	631	294	431	244	1369.0	present	bottle	394517	7	7	1	113433.0	111580.857422	1852
s2_bot	7	5	933	372	430	241	1543.0	present	bottle	394517	7	7	1	113433.0	111580.857422	1852
s2_bot	7	6	1326	362	425	227	1740.0	present	bottle	394517	7	7	1	113433.0	111580.857422	1852
s2_bot	7	7	1711	184	432	242	1847.0	present	bottle	394517	7	7	1	113433.0	111580.857422	1852
s2_bot	7	8	1953	298	338	191	2020.0	present	bottle	394517	7	7	1	113433.0	111580.857422	1852
s2_bot	7	9	2301	113	382	232	1791.0	present	bottle	394517	7	7	1	113433.0	111580.857422	1852
s2_bot	8	1	7	262	258	163	1073.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	8	2	343	148	235	58	1056.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	8	3	516	67	236	41	1120.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	8	4	612	199	267	42	1287.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	8	5	857	109	327	36	1436.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	8	6	1046	283	137	41	1575.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	8	7	1374	154	188	61	1776.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	8	8	1600	281	101	20	1828.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	8	9	1994	354	420	53	2008.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	8	10	2403	397	316	31	2217.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	8	11	2907	282	109	125	2477.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	8	12	3254	503	265	167	2255.0	present	bottle	481185	7	6	0	118435.0	115250.387422	3184
s2_bot	9	1	7	253	257	159	985.0	present	bottle	302055	7	7	1	121739.0	120487.817422	1251
s2_bot	9	2	325	83	145	90	945.0	present	bottle	302055	7	7	1	121739.0	120487.817422	1251
s2_bot	9	3	478	200	311	51	1108.0	present	bottle	302055	7	7	1	121739.0	120487.817422	1251
s2_bot	9	4	719	101	329	29	1260.0	present	bottle	302055	7	7	1	121739.0	120487.817422	1251
s2_bot	9	5	864	140	387	16	1328.0	present	bottle	302055	7	7	1	121739.0	120487.817422	1251
s2_bot	9	6	1055	275	325	38	1556.0	present	bottle	302055	7	7	1	121739.0	120487.817422	1251
s2_bot	9	7	1373	448	305	64	1820.0	present	bottle	302055	7	7	1	121739.0	120487.817422	1251
s2_bot	11	1	7	171	258	161	1196.0	present	bottle	276488	7	7	1	138206.0	137167.511422	1038
s2_bot	11	2	214	141	268	138	1154.0	present	bottle	276488	7	7	1	138206.0	137167.511422	1038
s2_bot	11	3	415	231	213	50	1198.0	present	bottle	276488	7	7	1	138206.0	137167.511422	1038
s2_bot	11	4	670	174	207	24	1413.0	present	bottle	276488	7	7	1	138206.0	137167.511422	1038
s2_bot	11	5	862	198	204	14	1559.0	present	bottle	276488	7	7	1	138206.0	137167.511422	1038
s2_bot	11	6	1131	227	98	103	1724.0	present	bottle	276488	7	7	1	138206.0	137167.511422	1038
s2_bot	11	7	1427	167	248	106	1903.0	present	bottle	276488	7	7	1	138206.0	137167.511422	1038
s2_bot	14	1	7	168	258	161	1045.0	present	bottle	211326	7	7	1	149964.0	149043.453422	920
s2_bot	14	2	238	157	225	109	1043.0	present	bottle	211326	7	7	1	149964.0	149043.453422	920
s2_bot	14	3	456	67	351	136	1048.0	present	bottle	211326	7	7	1	149964.0	149043.453422	920
