RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_PUPIL,condition,category,img_name,expected,Button_Press,Correct,Button_pressed_time,Time_on_Display,RT
s2_bot,1,1,7,73,258,157,1158.0,present,bottle,000000478726.jpg,7,7,1,91240.0,90080.7194224,1159
s2_bot,1,2,102,193,243,145,1171.0,present,bottle,000000478726.jpg,7,7,1,91240.0,90080.7194224,1159
s2_bot,1,3,339,95,222,116,1183.0,present,bottle,000000478726.jpg,7,7,1,91240.0,90080.7194224,1159
s2_bot,1,4,485,635,339,82,1361.0,present,bottle,000000478726.jpg,7,7,1,91240.0,90080.7194224,1159
s2_bot,1,5,1142,592,341,62,1643.0,present,bottle,000000478726.jpg,7,7,1,91240.0,90080.7194224,1159
s2_bot,2,1,7,149,258,159,1132.0,present,bottle,000000488390.jpg,7,7,1,94496.0,93550.0954224,945
s2_bot,2,2,196,107,257,122,1172.0,present,bottle,000000488390.jpg,7,7,1,94496.0,93550.0954224,945
s2_bot,2,3,364,109,144,129,1105.0,present,bottle,000000488390.jpg,7,7,1,94496.0,93550.0954224,945
s2_bot,2,4,504,232,120,153,1249.0,present,bottle,000000488390.jpg,7,7,1,94496.0,93550.0954224,945
s2_bot,2,5,759,417,117,164,1524.0,present,bottle,000000488390.jpg,7,7,1,94496.0,93550.0954224,945
s2_bot,2,6,1207,302,140,165,1755.0,present,bottle,000000488390.jpg,7,7,1,94496.0,93550.0954224,945
s2_bot,3,1,7,60,257,161,1010.0,present,bottle,000000058864.jpg,7,7,1,97488.0,96652.5234224,835
s2_bot,3,2,102,109,261,142,1046.0,present,bottle,000000058864.jpg,7,7,1,97488.0,96652.5234224,835
s2_bot,3,3,258,297,337,97,1070.0,present,bottle,000000058864.jpg,7,7,1,97488.0,96652.5234224,835
s2_bot,3,4,581,480,360,89,1324.0,present,bottle,000000058864.jpg,7,7,1,97488.0,96652.5234224,835
s2_bot,3,5,1100,293,311,98,1538.0,present,bottle,000000058864.jpg,7,7,1,97488.0,96652.5234224,835
s2_bot,4,1,7,167,255,162,1030.0,absent,bottle,000000342742.jpg,6,6,1,100799.0,99404.6674224,1394
s2_bot,4,2,222,122,253,116,1007.0,absent,bottle,000000342742.jpg,6,6,1,100799.0,99404.6674224,1394
s2_bot,4,3,412,169,161,32,1036.0,absent,bottle,000000342742.jpg,6,6,1,100799.0,99404.6674224,1394
s2_bot,4,4,603,232,148,19,1224.0,absent,bottle,000000342742.jpg,6,6,1,100799.0,99404.6674224,1394
s2_bot,4,5,896,280,272,32,1472.0,absent,bottle,000000342742.jpg,6,6,1,100799.0,99404.6674224,1394
s2_bot,4,6,1236,94,265,128,1648.0,absent,bottle,000000342742.jpg,6,6,1,100799.0,99404.6674224,1394
s2_bot,4,7,1390,305,345,30,1727.0,absent,bottle,000000342742.jpg,6,6,1,100799.0,99404.6674224,1394
s2_bot,4,8,1752,211,267,155,1945.0,absent,bottle,000000342742.jpg,6,6,1,100799.0,99404.6674224,1394
s2_bot,5,1,7,176,257,161,1041.0,absent,bottle,000000330220.jpg,6,6,1,104797.0,102990.812422,1806
s2_bot,5,2,216,177,260,126,1037.0,absent,bottle,000000330220.jpg,6,6,1,104797.0,102990.812422,1806
s2_bot,5,3,461,51,166,83,1063.0,absent,bottle,000000330220.jpg,6,6,1,104797.0,102990.812422,1806
s2_bot,5,4,556,157,223,39,1154.0,absent,bottle,000000330220.jpg,6,6,1,104797.0,102990.812422,1806
s2_bot,5,5,757,35,249,28,1195.0,absent,bottle,000000330220.jpg,6,6,1,104797.0,102990.812422,1806
s2_bot,5,6,860,472,405,32,1318.0,absent,bottle,000000330220.jpg,6,6,1,104797.0,102990.812422,1806
s2_bot,5,7,1444,123,221,168,1627.0,absent,bottle,000000330220.jpg,6,6,1,104797.0,102990.812422,1806
s2_bot,5,8,1622,149,142,203,1592.0,absent,bottle,000000330220.jpg,6,6,1,104797.0,102990.812422,1806
s2_bot,5,9,1878,430,98,45,1223.0,absent,bottle,000000330220.jpg,6,6,1,104797.0,102990.812422,1806
s2_bot,6,1,7,243,258,162,1042.0,present,bottle,000000142970.jpg,7,7,1,109813.0,106860.492422,2952
s2_bot,6,2,287,105,262,111,988.0,present,bottle,000000142970.jpg,7,7,1,109813.0,106860.492422,2952
s2_bot,6,3,512,192,356,37,1064.0,present,bottle,000000142970.jpg,7,7,1,109813.0,106860.492422,2952
s2_bot,6,4,773,147,183,15,1303.0,present,bottle,000000142970.jpg,7,7,1,109813.0,106860.492422,2952
s2_bot,6,5,987,211,337,28,1480.0,present,bottle,000000142970.jpg,7,7,1,109813.0,106860.492422,2952
s2_bot,6,6,1222,356,361,24,1631.0,present,bottle,000000142970.jpg,7,7,1,109813.0,106860.492422,2952
s2_bot,6,7,1600,264,352,22,1801.0,present,bottle,000000142970.jpg,7,7,1,109813.0,106860.492422,2952
s2_bot,6,8,1883,339,361,20,1919.0,present,bottle,000000142970.jpg,7,7,1,109813.0,106860.492422,2952
s2_bot,6,9,2249,683,346,31,2100.0,present,bottle,000000142970.jpg,7,7,1,109813.0,106860.492422,2952
s2_bot,6,10,2996,521,271,146,2265.0,present,bottle,000000142970.jpg,7,7,1,109813.0,106860.492422,2952
s2_bot,7,1,40,203,277,103,1068.0,present,bottle,000000394517.jpg,7,7,1,113433.0,111580.857422,1852
s2_bot,7,2,303,79,364,204,1082.0,present,bottle,000000394517.jpg,7,7,1,113433.0,111580.857422,1852
s2_bot,7,3,423,178,440,208,1153.0,present,bottle,000000394517.jpg,7,7,1,113433.0,111580.857422,1852
s2_bot,7,4,631,294,431,244,1369.0,present,bottle,000000394517.jpg,7,7,1,113433.0,111580.857422,1852
s2_bot,7,5,933,372,430,241,1543.0,present,bottle,000000394517.jpg,7,7,1,113433.0,111580.857422,1852
s2_bot,7,6,1326,362,425,227,1740.0,present,bottle,000000394517.jpg,7,7,1,113433.0,111580.857422,1852
s2_bot,7,7,1711,184,432,242,1847.0,present,bottle,000000394517.jpg,7,7,1,113433.0,111580.857422,1852
s2_bot,7,8,1953,298,338,191,2020.0,present,bottle,000000394517.jpg,7,7,1,113433.0,111580.857422,1852
s2_bot,7,9,2301,113,382,232,1791.0,present,bottle,000000394517.jpg,7,7,1,113433.0,111580.857422,1852
s2_bot,8,1,7,262,258,163,1073.0,present,bottle,000000481185.jpg,7,6,0,118435.0,115250.387422,3184
s2_bot,8,2,343,148,235,58,1056.0,present,bottle,000000481185.jpg,7,6,0,118435.0,115250.387422,3184
s2_bot,8,3,516,67,236,41,1120.0,present,bottle,000000481185.jpg,7,6,0,118435.0,115250.387422,3184
s2_bot,8,4,612,199,267,42,1287.0,present,bottle,000000481185.jpg,7,6,0,118435.0,115250.387422,3184
